SCHOOL_YEAR,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,grad_rate
2018-19,Public school,No,11.0,Pepin,1499,40.0,High School,Durand-Arkansaw,Durand Middle/High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,73,72,0.9863013698630136
2018-19,Public school,No,2.0,Walworth,1540,40.0,High School,East Troy Community,East Troy High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,155,150,0.967741935483871
2018-19,Public school,Yes,10.0,Eau Claire,1554,580.0,High School,Eau Claire Area,McKinley Charter School,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,128,56,0.4375
2018-19,Public school,No,10.0,Eau Claire,1554,340.0,High School,Eau Claire Area,Memorial High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,365,338,0.9260273972602739
2018-19,Public school,No,10.0,Eau Claire,1554,400.0,High School,Eau Claire Area,North High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,287,260,0.9059233449477352
2018-19,Public school,No,9.0,Marathon,1561,40.0,High School,Edgar,Edgar High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,49,46,0.9387755102040817
2018-19,Public school,No,2.0,Rock,1568,80.0,High School,Edgerton,Edgerton High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,131,126,0.9618320610687023
2018-19,Public school,No,10.0,Trempealeau,1600,60.0,High School,Eleva-Strum,Eleva-Strum High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,44,41,0.9318181818181818
2018-19,Public school,No,11.0,Dunn,1645,40.0,High School,Elk Mound Area,Elk Mound High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,89,86,0.9662921348314607
2018-19,Public school,No,7.0,Sheboygan,1631,40.0,High School,Elkhart Lake-Glenbeulah,Elkhart Lake High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,35,35,1.0
2018-19,Public school,No,2.0,Walworth,1638,40.0,High School,Elkhorn Area,Elkhorn Area High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,191,186,0.9738219895287958
2018-19,Public school,No,11.0,Pierce,1659,40.0,High School,Ellsworth Community,Ellsworth High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,111,106,0.954954954954955
2018-19,Public school,No,1.0,Waukesha,714,20.0,High School,Elmbrook,Central High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,314,308,0.9808917197452229
2018-19,Public school,No,1.0,Waukesha,714,60.0,High School,Elmbrook,East High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,313,302,0.9648562300319489
2018-19,Non District Charter Schools,Yes,1.0,Milwaukee,8131,400.0,High School,Escuela Verde,Escuela Verde,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,38,33,0.868421052631579
2018-19,Public school,No,2.0,Rock,1694,40.0,High School,Evansville Community,Evansville High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,125,120,0.96
2018-19,Public school,No,10.0,Eau Claire,1729,40.0,High School,Fall Creek,Fall Creek High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,77,72,0.935064935064935
2018-19,Public school,No,5.0,Columbia,1736,40.0,High School,Fall River,Fall River High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,33,33,1.0
2018-19,Public school,No,3.0,Grant,1813,40.0,High School,Fennimore Community,Fennimore High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,61,60,0.9836065573770492
2018-19,Public school,No,10.0,Rusk,5757,40.0,High School,Flambeau,Flambeau High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,46,44,0.9565217391304348
2018-19,Public school,No,8.0,Florence,1855,60.0,High School,Florence County,Florence High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,30,29,0.9666666666666667
2018-19,Public school,No,6.0,Fond du Lac,1862,140.0,High School,Fond du Lac,Fond du Lac High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,526,466,0.8859315589353612
2018-19,Public school,No,2.0,Jefferson,1883,80.0,High School,Fort Atkinson,Fort Atkinson High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,231,206,0.8917748917748918
2018-19,Public school,No,1.0,Milwaukee,1900,60.0,High School,Franklin Public,Franklin High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,391,384,0.9820971867007673
2018-19,Public school,No,1.0,Milwaukee,1900,400.0,High School,Franklin Public,Milwaukee County Correctional Facility South,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,39,1,0.02564102564102564
2018-19,Public school,No,6.0,Outagamie,1953,60.0,High School,Freedom Area,Freedom High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,142,138,0.971830985915493
2018-19,Public school,No,4.0,Trempealeau,2009,40.0,High School,Galesville-Ettrick-Trempealeau,Galesville-Ettrick-Trempealeau High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,105,104,0.9904761904761905
2018-19,Public school,No,1.0,Washington,2058,180.0,High School,Germantown,Germantown High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,335,325,0.9701492537313433
2018-19,Public school,No,7.0,Door,2114,120.0,High School,Gibraltar Area,Gibraltar High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,44,39,0.8863636363636364
2018-19,Public school,No,8.0,Oconto,2128,20.0,High School,Gillett,Gillett High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,30,28,0.9333333333333333
2018-19,Public school,No,10.0,Taylor,2135,60.0,High School,Gilman,Gilman High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,26,25,0.9615384615384616
2018-19,Public school,No,11.0,Saint Croix,2198,80.0,High School,Glenwood City,Glenwood City High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,47,41,0.8723404255319149
2018-19,Public school,No,1.0,Ozaukee,2217,40.0,High School,Grafton,Grafton High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,189,184,0.9735449735449735
2018-19,Public school,No,11.0,Burnett,2233,80.0,High School,Grantsburg,Grantsburg High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,67,63,0.9402985074626866
