SCHOOL_YEAR_x,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,HIGH_SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,MIDDLE_SCHOOL_NAME,SCHOOL_YEAR_y,TEST_SUBJECT,Composite_Score,FORWARD_YEAR,EXPECTED_COHORT
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Lincoln Middle,2015-16,Social Studies,3.2708333333333335,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Logan Middle,2015-16,ELA,2.574468085106383,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Logan Middle,2015-16,Mathematics,2.1914893617021276,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Logan Middle,2015-16,Science,2.702127659574468,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Logan Middle,2015-16,Social Studies,3.0,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Longfellow Middle,2015-16,ELA,2.141304347826087,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Longfellow Middle,2015-16,Mathematics,2.260869565217391,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Longfellow Middle,2015-16,Science,2.641304347826087,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Longfellow Middle,2015-16,Social Studies,2.881720430107527,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Gender,Female,4-Year rate,117,108,La Crosse Design Institute,2015-16,ELA,2.1666666666666665,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Gender,Female,4-Year rate,117,108,La Crosse Design Institute,2015-16,Mathematics,1.6666666666666667,2016.0,2020.0
